,Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Start time,End time,Day,Building
0,AAS,100,30107,Intro Asian American Studies,9,8,3,0,6,0,1,1,0,0,0,0,0,0,3.62,"Lee, Sang S",600.0,650.0,W,David Kinley Hall
1,AAS,100,41729,Intro Asian American Studies,7,5,5,4,3,3,2,2,1,1,0,0,0,0,3.28,"Lee, Sang S",660.0,710.0,W,David Kinley Hall
2,AAS,100,48232,Intro Asian American Studies,22,5,0,0,2,1,0,0,0,0,0,0,0,0,3.89,"Chung, Ga Young",780.0,830.0,W,David Kinley Hall
3,AAS,100,48234,Intro Asian American Studies,16,7,0,1,2,1,1,0,1,0,0,0,0,0,3.72,"Chung, Ga Young",840.0,890.0,W,David Kinley Hall
4,AAS,100,50105,Intro Asian American Studies,12,1,5,1,1,1,1,0,0,1,0,0,0,0,3.61,"Lee, Jean Y",900.0,950.0,W,David Kinley Hall
5,AAS,120,59194,Intro to Asian Am Pop Culture,1,15,3,2,3,1,1,0,0,0,0,0,0,1,3.68,"Eng, Christopher A",600.0,650.0,TR,Armory
6,AAS,200,64396,U.S. Race and Empire,7,7,3,1,0,2,1,0,0,0,0,0,0,0,3.71,"Sharif, Lila A",1470.0,830.0,TR,David Kinley Hall
7,AAS,215,52317,US Citizenship Comparatively,1,9,1,0,2,4,2,1,1,1,0,1,3,1,2.72,"Cacho, Lisa M",570.0,650.0,TR,David Kinley Hall
8,ABE,141,54768,ABE Principles: Biological,0,18,12,10,3,3,0,0,0,0,2,0,4,0,3.24,"Bhalerao, Kaustubh",600.0,650.0,F,Agricultural Engr Sciences Bld
9,ABE,225,57089,ABE Principles: Bioenvironment,3,17,2,4,8,2,1,0,1,0,0,0,1,0,3.44,"Zhang, Yuanhui",510.0,590.0,TR,Agricultural Engr Sciences Bld
10,ABE,226,57086,ABE Principles: Bioprocessing,2,5,13,6,4,4,2,1,0,0,0,0,0,0,3.38,"Singh, Vijay",510.0,590.0,TR,Agricultural Engr Sciences Bld
11,ABE,425,39997,Engrg Measurement Systems,1,30,3,3,0,1,1,0,0,0,0,0,0,0,3.85,"Grift, Tony E",570.0,650.0,TR,Agricultural Engr Sciences Bld
12,ABE,436,47444,Renewable Energy Systems,4,8,5,12,7,5,3,1,0,0,1,0,1,0,3.21,"Wang, Xinlei",780.0,890.0,T,Agricultural Engr Sciences Bld
13,ABE,446,51916,Biological Nanoengineering,1,6,12,2,0,1,0,0,0,0,0,0,0,0,3.7,"Bhalerao, Kaustubh",900.0,1010.0,W,Agricultural Engr Sciences Bld
15,ACCY,200,30111,Fundamentals of Accounting,8,11,7,3,0,1,0,0,0,0,0,0,0,0,3.81,"Li, Wei",1020.0,1100.0,MW,Business Instructional Fac
16,ACCY,201,30112,Accounting and Accountancy I,4,5,6,3,5,6,3,5,4,0,2,0,4,1,2.65,"Gebhardt, Abbey L",480.0,530.0,F,Business Instructional Fac
17,ACCY,201,30113,Accounting and Accountancy I,4,9,7,6,5,4,0,3,2,0,6,0,1,0,2.95,"Gebhardt, Abbey L",540.0,590.0,F,Business Instructional Fac
18,ACCY,201,30115,Accounting and Accountancy I,4,7,7,7,6,3,3,3,2,0,8,0,0,1,2.87,"Jones, Brock A",1440.0,1490.0,F,Business Instructional Fac
19,ACCY,201,30116,Accounting and Accountancy I,1,4,5,4,6,7,3,3,3,0,3,0,3,2,2.6,"Pietura, Magdalena",780.0,830.0,F,Business Instructional Fac
20,ACCY,201,30117,Accounting and Accountancy I,2,4,11,5,5,3,3,3,1,0,2,0,3,2,2.87,"Pietura, Magdalena",840.0,890.0,F,Business Instructional Fac
21,ACCY,201,45631,Accounting and Accountancy I,5,10,8,6,6,3,5,1,1,0,3,0,0,2,3.2,"Jones, Brock A",600.0,650.0,F,Business Instructional Fac
22,ACCY,202,30147,Accounting and Accountancy II,2,9,0,3,6,3,3,2,2,0,0,0,0,0,3.14,"Shen, Haoqing",540.0,590.0,F,Business Instructional Fac
23,ACCY,202,30121,Accounting and Accountancy II,2,3,1,7,9,3,3,2,1,0,0,0,0,0,3.05,"Shen, Haoqing",480.0,530.0,F,Business Instructional Fac
24,ACCY,202,30123,Accounting and Accountancy II,3,3,1,5,7,3,4,0,2,0,2,0,0,1,2.93,"Valentine, Courtney M",540.0,590.0,F,Business Instructional Fac
25,ACCY,202,30140,Accounting and Accountancy II,3,4,1,7,7,2,2,1,2,0,0,0,0,0,3.15,"Silver, Paige R",540.0,590.0,F,Business Instructional Fac
26,ACCY,202,30143,Accounting and Accountancy II,4,3,2,15,4,4,1,0,0,0,1,0,1,1,3.18,"Waddock, Madeleine K",540.0,590.0,F,Business Instructional Fac
27,ACCY,202,30151,Accounting and Accountancy II,4,8,0,7,5,5,2,1,2,0,1,0,0,0,3.16,"Waddock, Madeleine K",1440.0,1490.0,F,Business Instructional Fac
28,ACCY,202,30155,Accounting and Accountancy II,3,4,2,9,7,4,1,4,1,0,0,0,0,0,3.11,"Agapito, Christina N",1440.0,1490.0,F,Business Instructional Fac
29,ACCY,202,30159,Accounting and Accountancy II,3,10,1,8,3,5,2,2,1,0,0,0,0,0,3.29,"Valentine, Courtney M",1440.0,1490.0,F,Business Instructional Fac
30,ACCY,202,30161,Accounting and Accountancy II,5,4,3,6,6,2,2,5,0,0,1,0,0,0,3.12,"Silver, Paige R",1440.0,1490.0,F,Business Instructional Fac
31,ACCY,202,30164,Accounting and Accountancy II,1,5,2,6,8,2,3,0,2,0,3,0,0,1,2.94,"Agapito, Christina N",780.0,830.0,F,Business Instructional Fac
32,ACCY,202,30168,Accounting and Accountancy II,1,4,4,3,11,5,1,2,1,0,1,0,0,0,3.03,"Coady, Jennifer J",780.0,830.0,F,Business Instructional Fac
33,ACCY,202,30171,Accounting and Accountancy II,1,4,2,12,6,0,4,2,1,0,0,0,0,0,3.13,"Chen, Monica S",780.0,830.0,F,Business Instructional Fac
34,ACCY,202,30176,Accounting and Accountancy II,2,6,0,6,9,2,3,3,2,0,0,0,0,1,3.05,"Schraiber, Rebecca L",780.0,830.0,F,Business Instructional Fac
35,ACCY,202,30179,Accounting and Accountancy II,1,4,2,7,7,3,4,2,2,0,0,0,0,0,3.01,"Schraiber, Rebecca L",840.0,890.0,F,Business Instructional Fac
36,ACCY,202,30182,Accounting and Accountancy II,2,3,2,8,4,5,3,1,4,0,0,0,0,0,2.97,"Coady, Jennifer J",840.0,890.0,F,Business Instructional Fac
37,ACCY,202,30186,Accounting and Accountancy II,2,6,2,9,5,4,0,1,1,0,0,0,0,0,3.29,"Chen, Monica S",840.0,890.0,F,Business Instructional Fac
38,ACCY,301,30192,Atg Measurement & Disclosure,4,3,4,3,5,2,1,0,1,2,0,1,4,1,2.68,"Davis, Gregory L",480.0,560.0,MW,Business Instructional Fac
39,ACCY,301,30195,Atg Measurement & Disclosure,8,8,5,2,5,1,3,2,0,0,0,0,0,0,3.46,"Davis, Gregory L",1470.0,830.0,MW,Business Instructional Fac
40,ACCY,301,30197,Atg Measurement & Disclosure,8,8,8,2,3,1,1,1,0,1,0,0,0,0,3.56,"Davis, Gregory L",840.0,920.0,MW,Business Instructional Fac
41,ACCY,301,30200,Atg Measurement & Disclosure,7,5,9,7,2,1,1,0,0,0,0,1,0,1,3.52,"Winn, Amanda M",840.0,920.0,MW,Business Instructional Fac
42,ACCY,301,30201,Atg Measurement & Disclosure,4,3,8,7,5,1,3,3,1,0,0,0,0,0,3.23,"Winn, Amanda M",570.0,650.0,MW,Business Instructional Fac
43,ACCY,301,30203,Atg Measurement & Disclosure,1,10,4,5,5,3,3,1,1,1,1,0,0,0,3.18,"Winn, Amanda M",1470.0,830.0,MW,Business Instructional Fac
44,ACCY,302,60043,Decision Making for Atg,0,8,7,10,4,1,4,0,0,0,0,0,0,0,3.38,"Fanning, Kirsten B",660.0,1460.0,TR,Business Instructional Fac
45,ACCY,302,30211,Decision Making for Atg,0,4,12,7,6,2,3,1,1,0,0,0,0,0,3.26,"Fanning, Kirsten B",570.0,650.0,TR,Business Instructional Fac
46,ACCY,302,30212,Decision Making for Atg,0,8,4,6,9,5,2,0,1,1,0,0,0,0,3.19,"Finnegan, Thomas",660.0,1460.0,TR,Business Instructional Fac
47,ACCY,302,30228,Decision Making for Atg,0,8,14,6,0,3,3,1,0,0,0,0,0,1,3.44,"Finnegan, Thomas",1470.0,830.0,TR,Business Instructional Fac
48,ACCY,302,30232,Decision Making for Atg,0,11,7,1,10,4,0,0,1,0,0,0,0,0,3.39,"Fanning, Kirsten B",840.0,920.0,TR,Business Instructional Fac
49,ACCY,302,30255,Decision Making for Atg,5,1,4,4,6,4,2,1,0,0,0,0,0,0,3.23,"Wu, Martin G",480.0,560.0,TR,Business Instructional Fac
50,ACCY,303,30267,Atg Institutions and Reg,2,7,9,2,6,2,0,0,1,0,1,0,0,0,3.39,"Zhu, Wei",570.0,650.0,MW,Business Instructional Fac
51,ACCY,303,30271,Atg Institutions and Reg,2,10,5,0,5,2,3,3,0,0,0,2,0,0,3.16,"Schwartz, Rachel",930.0,1010.0,MW,Business Instructional Fac
52,ACCY,303,30274,Atg Institutions and Reg,3,4,1,0,4,1,4,3,2,1,0,1,0,0,2.79,"Zhu, Wei",480.0,560.0,MW,Business Instructional Fac
53,ACCY,303,30276,Atg Institutions and Reg,1,6,3,9,4,1,1,2,0,0,0,0,0,0,3.33,"Zhu, Wei",660.0,1460.0,MW,Business Instructional Fac
54,ACCY,303,30278,Atg Institutions and Reg,8,5,2,1,2,4,1,3,2,0,0,0,0,0,3.25,"Schwartz, Rachel",1470.0,830.0,MW,Business Instructional Fac
55,ACCY,303,46358,Atg Institutions and Reg,6,10,1,4,2,3,0,1,0,0,0,1,0,0,3.49,"Schwartz, Rachel",840.0,920.0,MW,Business Instructional Fac
56,ACCY,304,30286,Accounting Control Systems,0,6,8,4,3,1,0,1,1,0,0,0,0,0,3.42,"Williamson, Michael",570.0,650.0,MW,Business Instructional Fac
57,ACCY,304,30288,Accounting Control Systems,0,5,5,4,2,3,2,0,0,0,0,0,0,0,3.35,"Williamson, Michael",480.0,560.0,MW,Business Instructional Fac
58,ACCY,304,30291,Accounting Control Systems,4,10,3,4,3,0,1,0,1,0,0,0,0,0,3.59,"Wu, Martin G",840.0,920.0,TR,Business Instructional Fac
59,ACCY,304,30294,Accounting Control Systems,0,4,10,7,3,2,0,0,0,0,0,0,0,0,3.48,"Wu, Martin G",930.0,1010.0,TR,Business Instructional Fac
60,ACCY,304,30296,Accounting Control Systems,0,7,6,9,2,2,0,0,0,0,0,0,0,0,3.51,"Vance, Thomas W",660.0,1460.0,TR,Business Instructional Fac
61,ACCY,304,30299,Accounting Control Systems,4,4,5,6,5,1,1,0,0,0,0,0,0,0,3.47,"Vance, Thomas W",570.0,650.0,TR,Business Instructional Fac
62,ACCY,312,30334,Principles of Taxation,0,6,3,4,0,4,0,3,0,2,0,0,0,0,3.08,"Hutchens, Michelle L",660.0,1460.0,MW,Business Instructional Fac
63,ACCY,312,30335,Principles of Taxation,0,11,0,6,0,2,0,1,0,0,1,0,0,0,3.44,"Hutchens, Michelle L",1470.0,830.0,MW,Business Instructional Fac
64,ACCY,312,30336,Principles of Taxation,4,5,2,4,6,0,1,1,1,0,0,0,0,0,3.36,"Lisowsky, Petro",570.0,650.0,MW,Business Instructional Fac
65,ACCY,312,39460,Principles of Taxation,4,5,4,6,4,0,0,1,0,0,0,0,0,0,3.53,"Henderson, Belinda C",840.0,920.0,MW,Business Instructional Fac
66,ACCY,312,56978,Principles of Taxation,0,3,9,2,5,1,0,1,1,0,0,0,0,0,3.32,"Lisowsky, Petro",660.0,1460.0,MW,Business Instructional Fac
67,ACCY,312,65156,Principles of Taxation,0,3,6,5,4,1,1,2,0,0,0,0,0,0,3.26,"Henderson, Belinda C",930.0,1010.0,MW,Business Instructional Fac
69,ACCY,405,30311,Assurance and Attestation,0,5,8,10,1,3,2,0,1,1,0,0,0,0,3.27,"Thompson, Anne M",480.0,560.0,TR,Business Instructional Fac
70,ACCY,405,30315,Assurance and Attestation,1,8,2,9,4,1,2,1,0,0,0,0,0,0,3.38,"Thompson, Anne M",570.0,650.0,TR,Business Instructional Fac
71,ACCY,405,30324,Assurance and Attestation,0,12,3,3,7,2,1,0,0,0,0,0,0,0,3.49,"Peecher, Mark E",840.0,920.0,TR,Business Instructional Fac
72,ACCY,410,60044,Advanced Financial Reporting,2,5,2,10,3,8,2,0,0,0,0,0,0,0,3.24,"Chen, Ciao-Wei",570.0,650.0,MW,Business Instructional Fac
73,ACCY,410,61733,Advanced Financial Reporting,2,10,3,11,6,1,2,0,0,0,0,0,0,0,3.46,"Chen, Ciao-Wei",840.0,920.0,MW,Business Instructional Fac
74,ACCY,410,61734,Advanced Financial Reporting,1,1,5,11,4,6,2,0,0,0,0,0,0,0,3.19,"Chen, Ciao-Wei",930.0,1010.0,MW,Business Instructional Fac
75,ACCY,410,61745,Advanced Financial Reporting,2,7,3,4,3,3,2,0,0,0,4,0,0,1,3.07,"Kustanovich, Michael",480.0,560.0,TR,Business Instructional Fac
76,ACCY,410,61758,Advanced Financial Reporting,3,12,9,3,3,3,1,0,0,0,0,0,0,0,3.6,"Kustanovich, Michael",660.0,1460.0,TR,Business Instructional Fac
77,ACCY,410,61759,Advanced Financial Reporting,4,5,3,10,5,4,2,0,0,0,0,0,0,0,3.35,"Urcan, Oktay",1470.0,830.0,TR,Business Instructional Fac
78,ACCY,415,65158,Auditing Stds and Practice,2,1,6,2,2,5,0,0,3,0,0,0,0,0,3.1,"Chatterton, Angel",570.0,650.0,TR,Business Instructional Fac
79,ACCY,451,61737,Advanced Income Tax Problems,6,8,4,5,10,4,3,1,0,0,0,0,0,0,3.33,"Henderson, Belinda C",570.0,650.0,MW,Business Instructional Fac
80,ACCY,451,61739,Advanced Income Tax Problems,8,3,6,4,8,4,2,1,0,1,0,0,0,0,3.31,"Bodtke, James E",1470.0,830.0,TR,Business Instructional Fac
81,ACCY,451,61743,Advanced Income Tax Problems,1,9,4,4,5,7,2,5,0,0,0,0,0,0,3.14,"Cox, Sharon P",570.0,650.0,MW,Business Instructional Fac
82,ACCY,451,65160,Advanced Income Tax Problems,0,4,3,8,8,5,4,2,0,0,0,0,0,0,3.08,"Cox, Sharon P",840.0,920.0,MW,Business Instructional Fac
83,ACCY,503,49296,Managerial Accounting,4,11,17,7,8,2,2,0,0,0,0,0,0,0,3.52,"Vance, Thomas W",1080.0,1250.0,M,Business Instructional Fac
84,ACCY,510,44465,Financial Reporting Standards,5,9,0,2,6,0,2,0,1,0,0,0,0,0,3.48,"Steward, Cynthia G",480.0,560.0,TR,Business Instructional Fac
85,ACCY,510,44865,Financial Reporting Standards,1,6,0,7,9,3,2,0,0,0,0,0,0,0,3.25,"Steward, Cynthia G",570.0,650.0,TR,Business Instructional Fac
86,ACCY,510,46889,Financial Reporting Standards,3,5,9,6,4,0,0,0,0,0,0,0,0,0,3.59,"Hepp, John",660.0,1460.0,MW,Business Instructional Fac
87,ACCY,510,46890,Financial Reporting Standards,2,3,6,11,4,1,0,0,0,0,0,0,0,0,3.46,"Hepp, John",1470.0,830.0,MW,Business Instructional Fac
88,ACCY,512,30434,Internal Risk Measurement/Rept,0,1,22,11,4,0,1,0,0,0,0,0,0,0,3.48,"Hecht, Gary W",660.0,1460.0,TR,Business Instructional Fac
89,ACCY,512,30436,Internal Risk Measurement/Rept,0,9,15,3,2,0,1,0,0,0,0,0,0,0,3.65,"Hecht, Gary W",1470.0,830.0,TR,Business Instructional Fac
90,ACCY,515,44467,Auditing & Assurance Standards,0,8,6,3,7,1,0,0,0,0,0,0,0,0,3.51,"Williams, Devin J",660.0,1460.0,TR,Business Instructional Fac
91,ACCY,515,46360,Auditing & Assurance Standards,0,3,3,9,6,2,0,0,0,0,0,0,0,0,3.32,"Williams, Devin J",1470.0,830.0,TR,Business Instructional Fac
92,ACCY,517,30428,Financial Statement Analysis,0,7,3,4,6,2,1,1,0,0,0,0,0,0,3.33,"Ibrahim, Adel Nematallah",660.0,1460.0,MW,Business Instructional Fac
93,ACCY,517,30431,Financial Statement Analysis,1,8,0,11,3,0,0,0,0,0,0,0,0,0,3.55,"Li, Yue",660.0,1460.0,MW,Business Instructional Fac
94,ACCY,517,61747,Financial Statement Analysis,0,11,6,3,2,1,2,0,0,0,0,0,0,1,3.57,"Ibrahim, Adel Nematallah",570.0,650.0,MW,Business Instructional Fac
95,ACCY,517,63200,Financial Statement Analysis,0,30,9,0,0,0,0,1,0,0,0,0,0,0,3.88,"Elliott, W B",480.0,560.0,MW,Business Instructional Fac
96,ACCY,517,63202,Financial Statement Analysis,2,6,5,6,7,2,0,0,0,0,0,0,0,0,3.45,"Ibrahim, Adel Nematallah",840.0,920.0,MW,Business Instructional Fac
97,ACCY,517,63203,Financial Statement Analysis,0,18,2,0,0,0,0,1,0,0,0,0,0,0,3.87,"Jackson, Kevin",930.0,1010.0,MW,Business Instructional Fac
98,ACCY,518,64807,Financial Statement Fraud,31,7,0,1,1,0,0,0,0,0,0,0,0,0,3.96,"Nekrasz, Frank",480.0,560.0,MW,Business Instructional Fac
99,ACCY,552,30438,Partnership Income Taxation,0,4,5,8,10,0,0,0,0,0,0,0,0,0,3.37,"Sternburg, Thomas",480.0,560.0,TR,Business Instructional Fac
100,ACCY,552,30440,Partnership Income Taxation,0,8,13,7,10,1,0,0,0,0,0,0,0,0,3.48,"Sternburg, Thomas",570.0,650.0,TR,Business Instructional Fac
105,ACCY,575,64806,Data Analytics Apps in ACCY,0,18,18,1,1,0,0,0,0,0,0,0,0,0,3.8,"Hecht, Gary W",930.0,1010.0,TR,Business Instructional Fac
106,ACCY,593,57385,Advanced Topics in Accounting,3,18,5,3,9,0,0,0,0,0,0,0,0,0,3.67,"Ahmed, Waqar",570.0,650.0,TR,Business Instructional Fac
107,ACCY,593,30453,Advanced Topics in Accounting,4,6,4,5,15,0,0,1,0,0,0,0,0,0,3.38,"Ahmed, Waqar",660.0,1460.0,TR,Business Instructional Fac
108,ACCY,593,63504,Advanced Topics in Accounting,1,11,3,3,18,0,0,0,0,0,0,0,0,0,3.42,"Ahmed, Waqar",1470.0,830.0,TR,Business Instructional Fac
109,ACE,161,30503,Microcomputer Applications,0,18,0,0,6,0,0,0,0,0,0,0,0,0,3.75,"Rogalla, Valerie",480.0,590.0,W,"ACES Lib, Info & Alum Ctr"
110,ACE,161,30486,Microcomputer Applications,0,18,0,0,5,0,0,0,0,0,1,0,0,0,3.67,"Lo, Alexander C",600.0,710.0,M,"ACES Lib, Info & Alum Ctr"
111,ACE,161,30504,Microcomputer Applications,0,17,0,0,3,0,0,2,0,0,0,0,1,0,3.52,"Rogalla, Valerie",600.0,710.0,W,"ACES Lib, Info & Alum Ctr"
112,ACE,161,30505,Microcomputer Applications,0,18,0,0,4,0,0,2,0,0,0,0,0,1,3.67,"Lo, Alexander C",780.0,890.0,W,"ACES Lib, Info & Alum Ctr"
113,ACE,161,30487,Microcomputer Applications,0,21,0,0,2,0,0,1,0,0,0,0,0,0,3.83,"Lo, Alexander C",840.0,950.0,M,"ACES Lib, Info & Alum Ctr"
114,ACE,161,30507,Microcomputer Applications,0,19,0,0,4,0,0,1,0,0,0,0,0,0,3.75,"Lo, Alexander C",900.0,1010.0,W,"ACES Lib, Info & Alum Ctr"
115,ACE,161,30489,Microcomputer Applications,0,23,0,0,1,0,0,1,0,0,0,0,0,0,3.88,"Lo, Alexander C",480.0,590.0,T,"ACES Lib, Info & Alum Ctr"
117,ACE,161,30491,Microcomputer Applications,0,21,0,0,3,0,0,1,0,0,0,0,0,0,3.8,"Lo, Alexander C",600.0,710.0,T,"ACES Lib, Info & Alum Ctr"
119,ACE,161,30493,Microcomputer Applications,0,11,0,0,6,0,0,5,0,0,1,0,1,0,3.04,"Rogalla, Valerie",780.0,890.0,T,"ACES Lib, Info & Alum Ctr"
120,ACE,161,30494,Microcomputer Applications,0,16,0,0,3,0,0,3,0,0,0,0,0,2,3.59,"Rogalla, Valerie",900.0,1010.0,T,"ACES Lib, Info & Alum Ctr"
121,ACE,231,55458,Food and Agribusiness Mgt,9,39,48,31,28,12,4,2,1,2,0,1,1,0,3.4,"Stoddard, Paul B",930.0,1010.0,TR,Mumford Hall
122,ACE,232,30577,Management of Farm Enterprises,8,9,10,3,22,14,4,6,4,1,0,1,0,0,3.03,"Stoddard, Paul B",840.0,920.0,TR,Education Building
123,ACE,240,55444,Personal Financial Planning,10,29,6,11,13,5,2,7,0,0,1,0,3,0,3.29,"Xu, Yilan",660.0,710.0,TR,English Building
124,ACE,251,39440,The World Food Economy,0,13,20,10,21,25,8,9,2,1,1,0,1,2,2.98,"Goldsmith, Peter D",540.0,590.0,MW,Armory
125,ACE,254,44225,Economic Systems in Africa,2,5,3,2,8,3,1,7,0,1,0,0,2,0,2.8,"Allen-Smith, Joyce E",660.0,710.0,MW,Mumford Hall
126,ACE,261,60578,Applied Statistical Methods,2,4,1,7,12,4,7,6,3,4,2,0,1,0,2.61,"Serra Devesa, Maria Teres",660.0,1460.0,TR,Altgeld Hall
127,ACE,270,30581,Consumer Economics,0,11,1,6,10,7,4,6,5,2,2,0,5,0,2.55,"Gundersen, Craig",780.0,830.0,MW,W Turner Hall
128,ACE,310,60459,Natural Resource Economics,0,21,21,9,17,8,3,4,1,1,1,0,1,0,3.25,"Brazee, Richard J",660.0,710.0,MW,National Soybean Res Ctr
129,ACE,360,53547,Spreadsheet Models & Applic,13,4,7,1,5,2,0,1,1,1,1,0,1,0,3.33,"Doehring, Todd A",540.0,650.0,MW,"ACES Lib, Info & Alum Ctr"
130,ACE,360,53546,Spreadsheet Models & Applic,14,9,3,5,7,5,3,3,1,1,1,1,1,0,3.18,"Doehring, Todd A",660.0,1490.0,MW,"ACES Lib, Info & Alum Ctr"
131,ACE,403,30588,Agricultural Law,1,3,7,9,3,2,0,2,0,0,0,0,0,0,3.33,"Coppess, Jonathan",840.0,890.0,MW,Mumford Hall
132,ACE,428,57692,Commodity Futures and Options,1,5,10,2,5,10,2,8,2,4,3,5,1,0,2.5,"Cruz, Jose C",810.0,890.0,MW,Animal Sciences Laboratory
133,ACE,430,43567,Food Marketing,0,3,6,12,7,7,4,1,0,0,3,0,0,0,2.98,"Goldsmith, Peter D",840.0,920.0,TR,Bevier Hall
134,ACE,431,30593,Agri-food Strategic Management,1,4,10,4,8,5,4,2,1,0,0,0,0,0,3.14,"Ellison, Brenna",900.0,980.0,MW,Mumford Hall
135,ACE,435,58953,Global Agribusiness Management,2,22,10,3,9,3,2,1,1,0,0,0,2,0,3.38,"Schnitkey, Gary D",990.0,1070.0,MW,Education Building
136,ACE,444,55323,Finan Serv & Invest Plan,4,9,1,2,2,1,4,2,0,0,4,0,1,0,2.94,"Sherrick, Bruce J",600.0,650.0,TR,Mumford Hall
137,ACE,446,49906,Modeling App's Finan Plan,0,20,5,2,8,0,0,5,0,0,4,0,0,0,3.25,"Sherrick, Bruce J",660.0,1490.0,MW,"ACES Lib, Info & Alum Ctr"
138,ACE,449,52915,Retirement & Benefit Planning,4,2,3,7,7,4,2,2,3,1,3,0,1,0,2.77,"Zeedyk, Betty J",480.0,560.0,TR,Bevier Hall
139,ACE,456,45927,Agr and Food Policies,0,30,1,0,4,0,0,1,0,0,0,0,0,0,3.82,"Kirwan, Barrett E",1470.0,830.0,TR,Mumford Hall
140,ACE,474,30604,Econ of Consumption,0,4,3,3,7,10,3,4,1,1,1,0,0,0,2.8,"Lyons, Angela C",840.0,920.0,TR,Mumford Hall
141,ACE,476,62223,Family Economics,0,3,2,6,5,6,3,0,0,0,1,0,1,0,2.9,"Lyons, Angela C",930.0,1010.0,TR,Mumford Hall
142,ACES,102,63906,Intro Sustainable Food Systems,14,10,3,1,1,0,1,0,0,0,0,0,0,0,3.86,"Rodriguez, Luis F",840.0,915.0,TR,Huff Hall
143,ADV,150,60077,Introduction to Advertising,81,98,11,17,22,3,11,0,0,0,0,0,7,5,3.65,"Hall, Steven R",540.0,590.0,MW,Gregory Hall
144,ADV,281,60079,Advertising Research Methods,1,7,7,13,15,3,8,6,1,0,1,0,0,0,3.02,"Wise, Kevin R",660.0,1460.0,TR,Bevier Hall
145,ADV,281,60083,Advertising Research Methods,0,8,1,4,33,3,1,18,0,0,1,0,0,0,2.83,"Vargas, Patrick T",1470.0,830.0,TR,Gregory Hall
146,ADV,283,60080,Advertising and Brand Strategy,0,19,10,8,1,0,0,0,0,0,0,0,0,0,3.75,"Nelson, Michelle R",840.0,920.0,TR,Armory
147,ADV,283,60081,Advertising and Brand Strategy,0,27,17,1,2,0,0,0,1,0,0,0,0,0,3.78,"Nelson, Michelle R",660.0,1460.0,TR,Lincoln Hall
148,ADV,284,60082,Consumer Insight,0,9,24,7,6,0,1,0,0,0,0,0,0,0,3.57,"Ahn, Regina",900.0,980.0,TR,Mechanical Engineering Bldg
149,ADV,284,60111,Consumer Insight,0,34,14,2,0,0,0,0,0,0,0,0,0,0,3.88,"Das, Susmita",1020.0,1100.0,TR,Lincoln Hall
150,ADV,310,54936,Intro to Public Relations,4,17,13,10,36,10,8,8,5,0,1,1,3,2,2.97,"Wirtz, John",1440.0,1490.0,MW,Architecture Building
151,ADV,311,65258,Classic Campaigns,0,14,15,3,2,3,0,0,0,0,0,0,1,0,3.55,"Chambers, Jason P",1470.0,830.0,TR,Armory
152,ADV,312,60084,Advertising History,0,3,4,11,6,4,4,1,0,0,0,0,0,0,3.13,"Chambers, Jason P",660.0,1460.0,TR,Armory
153,ADV,390,60085,Content Creation,0,18,5,14,13,15,11,1,2,0,1,0,0,1,3.1,"Sheldon, Peter S",660.0,1460.0,TR,Lincoln Hall
154,ADV,410,39501,Public Relations Strategies,3,34,15,4,8,0,2,0,0,0,1,0,0,1,3.67,"Hartmann, Nathaniel B",840.0,920.0,TR,Gregory Hall
155,ADV,460,60087,Innovation in Advertising,0,14,13,9,4,2,4,1,3,0,0,0,0,0,3.35,"Ham, Chang Dae",840.0,920.0,TR,Armory
156,ADV,460,61526,Innovation in Advertising,0,26,7,10,7,3,0,1,0,0,0,0,0,0,3.59,"Ham, Chang Dae",1470.0,830.0,TR,Armory
157,ADV,483,50150,Audience Analysis,0,2,23,21,5,0,1,1,2,0,0,0,0,0,3.36,"Sar, Sela",1470.0,830.0,TR,Armory
158,ADV,483,30740,Audience Analysis,0,0,11,20,12,7,0,1,0,1,0,0,0,0,3.17,"Sar, Sela",840.0,920.0,TR,Armory
159,ADV,490,61427,Digital Advertising Content,0,29,1,3,6,1,1,1,0,0,2,0,3,0,3.33,"Yao, Mike Z",600.0,650.0,MW,Armory
160,ADV,490,63497,Sports PR,0,15,8,1,0,1,0,0,0,0,0,0,1,0,3.67,"Raquel, Steve A",660.0,830.0,W,Gregory Hall
161,ADV,492,64125,Tech and Advertising Campaigns,5,21,3,4,6,1,0,0,0,0,0,0,0,0,3.73,"Yao, Mike Z",930.0,1010.0,TR,Siebel Center for Comp Sci
162,ADV,498,63424,The Sandage Project,0,22,5,1,1,0,0,0,0,0,0,0,0,0,3.89,"Meron, Shachar",1440.0,830.0,MW,Lincoln Hall
163,ADV,498,63425,The Sandage Project,0,12,13,5,0,0,0,0,0,0,0,0,0,0,3.75,"Meron, Shachar",1440.0,830.0,MW,Wohlers Hall
164,ADV,498,63427,The Sandage Project,0,10,9,6,0,0,0,0,0,0,0,0,0,0,3.72,"Meron, Shachar",540.0,650.0,MW,Armory
165,AE,199,59233,Computer-Aided Design,2,12,7,5,4,0,1,1,1,0,1,0,1,0,3.35,"Laystrom-Woodar, Julia K",840.0,890.0,TR,B Engineering Hall
