,Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Start time,End time,Day,Building
1399,JOUR,311,61556,Media Law,2,11,7,8,4,0,2,0,0,0,1,0,0,1,3.49,"Holden, Benjamin A",660.0,1460.0,TR,B Engineering Hall
1400,JOUR,361,64996,Readings in Sports Journalism,0,12,4,3,11,0,0,1,0,0,2,0,1,0,3.23,"McDonald, Jean A",900.0,1010.0,W,Gregory Hall
1401,JOUR,453,63413,Crisis Communications,0,34,11,3,1,0,0,1,0,0,0,0,0,0,3.83,"Holley, Geralyn K",1080.0,1190.0,MW,Bevier Hall
1402,KIN,100,34963,Development Activities,0,25,0,0,4,0,0,0,0,0,0,0,0,0,3.87,"Peters, Joseph A",480.0,530.0,MW,MP Campus Recreation Center East
1403,KIN,100,34976,Development Activities,8,8,3,4,3,0,1,1,0,0,0,0,0,0,3.63,"Strom, Dominick A",900.0,950.0,MW,B FAR - Food Service Building
1404,KIN,100,34981,Development Activities,0,28,0,0,0,0,0,2,0,0,0,0,0,0,3.91,"Peters, Joseph A",1080.0,1130.0,MW,B FAR - Food Service Building
1405,KIN,101,34988,Dance Activities,7,4,4,1,2,0,1,1,1,0,0,2,1,0,3.14,"Amjod, Raja M",960.0,1010.0,MW,FAR - Food Service Building
1406,KIN,103,35006,Indoor Court Activities,24,1,0,0,0,1,0,0,0,0,0,0,0,0,3.95,"Hua, Andrew K",840.0,890.0,TR,GYM Activities & Recreation Center
1407,KIN,103,64972,Badminton,7,13,4,1,1,0,0,1,0,0,0,0,1,0,3.68,"Chaparro, Gioella N",780.0,830.0,TR,GYM Activities & Recreation Center
1408,KIN,104,35008,Skating Activities,0,48,0,0,3,0,0,2,0,0,0,0,1,1,3.8,"Clarke, Caitlin L",780.0,830.0,MW,Ice Arena
1409,KIN,104,60712,Skating Activities,0,47,0,0,1,0,0,0,0,0,1,0,0,1,3.92,"Clarke, Caitlin L",870.0,950.0,TR,Ice Arena
1410,KIN,104,64439,Skating Activities,0,34,0,0,8,0,0,3,0,0,1,0,1,0,3.55,"Clarke, Caitlin L",540.0,590.0,MW,Ice Arena
1411,KIN,104,64440,Skating Activities,0,45,0,0,2,0,0,2,0,0,1,0,1,0,3.75,"Clarke, Caitlin L",600.0,650.0,MW,Ice Arena
1412,KIN,104,35011,Skating Activities,0,39,0,0,7,0,0,1,0,0,1,0,0,0,3.75,"Clarke, Caitlin L",840.0,890.0,MW,Ice Arena
1413,KIN,104,35015,Skating Activities,0,50,0,0,2,0,0,2,0,0,1,0,1,0,3.77,"Clarke, Caitlin L",570.0,650.0,TR,Ice Arena
